title,authors,time,keywords,abstract,url
Discovery of quasi-disordered truss metamaterials inspired by natural cellular materials,"['Akash Singh Bhuwal', 'Yong Pang', 'Ian Ashcroft', 'Wei Sun', 'Tao Liu']","Volume 175, June 2023, 105294","['Metamaterials', 'Brittle to progressive failure', 'Artificial neural network']","Natural cellular materials, such as marine mussels, honeycombs, woods, trabecular bones, plant parenchyma, sponges and protoreaster nodosus, may benefit from the disorderliness within their internal microstructures to achieve damage tolerant behaviors. Inspired by this, we have created quasi-disordered truss metamaterials (QTMs) via introducing spatial coordinate perturbations or strut thickness variations to the perfect, periodic truss lattices. Numerical studies have suggested that the QTMs can exhibit either ductile, damage tolerant behaviors or sudden, catastrophic failure mode, depending on the distribution of the introduced disorderliness. A data-driven approach has been developed, combining deep-learning and global optimization algorithms, to tune the distribution of the disorderliness to achieve the damage tolerant QTM designs. A case study on the QTMs created from a periodic Face Centered Cubic (FCC) lattice has demonstrated that the optimized QTMs can achieve up to 100% increase in ductility at the expense of less than 5% stiffness and 8%–15% tensile strength. Our results suggest a novel design pathway for architected materials to improve damage tolerance.",https://www.sciencedirect.com/science/article/pii/S0022509623000984
Learning hyperelastic anisotropy from data via a tensor basis neural network,"['J.N. Fuhg', 'N. Bouklas', 'R.E. Jones']","Volume 168, November 2022, 105022","['Elasticity', 'Anisotropy', 'Tensor basis', 'Neural network', 'L1 regularization']","Anisotropy in the mechanical response of materials with microstructure is common and yet is difficult to assess and model. To construct accurate response models given only stress–strain data, we employ classical representation theory, novel neural network layers, and L1 regularization. The proposed tensor-basis neural network can discover both the type and orientation of the anisotropy and provide an accurate model of the stress response. The method is demonstrated with data from hyperelastic materials with off-axis transverse isotropy and orthotropy, as well as materials with less well-defined symmetries induced by fibers or spherical inclusions. Both plain feed-forward neural networks and input-convex neural network formulations are developed and tested. Using the latter, a polyconvex potential can be established, which, by satisfying the necessary growth condition can guarantee the existence of boundary value problem solutions.",https://www.sciencedirect.com/science/article/pii/S0022509622002058
Exploring the 3D architectures of deep material network in data-driven multiscale mechanics,"['Zeliang Liu', 'C.T. Wu']","Volume 127, June 2019, Pages 20-46","['Machine learning', '3D building-block', 'Hyperelasticity', 'Crystal plasticity', 'CFRP composites', 'Three-scale homogenization']","This paper extends the deep material network (DMN) proposed by Liu et al. (2019) to tackle general 3-dimensional (3D) problems with arbitrary material and geometric nonlinearities. It discovers a new way of describing multiscale heterogeneous materials by a multi-layer network structure and mechanistic building blocks. The data-driven framework of DMN is discussed in detail about the offline training and online extrapolation stages. Analytical solutions of the 3D building block with a two-layer structure in both small- and finite-strain formulations are derived based on interfacial equilibrium conditions and kinematic constraints. With linear elastic data generated by direct numerical simulations on a representative volume element (RVE), the network can be effectively trained in the offline stage using stochastic gradient descent and advanced model compression algorithms. Efficiency and accuracy of DMN on addressing the long-standing 3D RVE challenges with complex morphologies and material laws are validated through numerical experiments, including 1) hyperelastic particle-reinforced rubber composite with Mullins effect; 2) polycrystalline materials with rate-dependent crystal plasticity; 3) carbon fiber reinforced polymer (CFRP) composites with fiber anisotropic elasticity and matrix plasticity. In particular, we demonstrate a three-scale homogenization procedure of CFRP system by concatenating the microscale and mesoscale material networks. The complete learning and extrapolation procedures of DMN establish a reliable data-driven framework for multiscale material modeling and design.",https://www.sciencedirect.com/science/article/pii/S0022509618310688
On the micromechanics of deep material networks,"['Sebastian Gajek', 'Matti Schneider', 'Thomas Böhlke']","Volume 142, September 2020, 103984","['Micromechanics', 'Computational homogenization', 'Deep material network', 'Volterra series', 'Laminate', 'Fiber reinforced polyamide', 'Metal matrix composite', 'J2-elasto-plasticity']","We investigate deep material networks (DMNs), recently introduced by Liu et al. [Comput. Method Appl. M., vol. 345, pp. 1138–1168, 2019], from the viewpoint of classical micromechanics at small strains. We aim to establish the basic micromechanical principles of deep material networks, shed light on the characteristics of the building blocks and introduce a simple, robust and fast solution technique for inelastic deep material networks.
In their original formulation, DMNs are solely trained by linear elastic data, but applied to nonlinear and inelastic problems with astonishing accuracy. We clarify this phenomenon theoretically by showing that, to first order in the strain rate, the effective inelastic behavior of composite materials is determined by linear elastic localization. Our argumentation applies to arbitrary microstructures comprising nonlinear generalized standard materials at small strains. The main technical tool is a Volterra series approximation of the stress of a generalized standard material, which we adapt from nonlinear dynamical systems theory.
Next, we establish that deep material networks inherit thermodynamic consistency and stress-strain monotonicity from their phases. These properties root in the definition of the DMN as a tree of hierarchical laminates and contrast with other applications of neural networks to the approximation of material laws, where consistency and monotonicity typically cannot be guaranteed far away from the training set.
Last but not least, we introduce rotation-free DMNs with arbitrary directions of lamination and exploit a novel formulation, uniting the implementation of DMNs of arbitrary tree topology and multi-phase laminates, and apply our insights to microstructures of industrial complexity.",https://www.sciencedirect.com/science/article/pii/S0022509620302192
Generative multiscale analysis of de novo proteome-inspired molecular structures and nanomechanical optimization using a VoxelPerceiver transformer model,"['Zhenze Yang', 'Yu-Chuan Hsu', 'Markus J. Buehler']","Volume 170, January 2023, 105098","['Biomaterials', 'Proteins', 'Mechanics', 'Deep learning', 'Adversarial', 'Attention models', 'Natural language processing', 'Transformer', 'Category theory', 'Generative design', 'GAN', 'Bayesian optimization', 'Materiomics']","We report a method to generate de novo protein designs through a generative adversarial neural network, MolShapeGAN, that can rapidly produce a large variety of nanoarchitected material designs inspired by proteins. The proteomic molecular designs generated by MolShapeGAN model are examined using LAMMPS coarse-grained simulations by applying tensile deformation to the longest axis of each structure, to assess mechanical properties. In order to facilitate nanomechanical optimization, we develop a transformer neural network, denoted as VoxelPerceiver, that predicts mechanical properties directly from the molecular architecture in an end-to-end fashion. The assessment of key nanomechanical properties, such as maximum tensile stress, Von Mises stress mean, and Von Mises standard deviation, offer a materiomic design paradigm by which tailored nanomechanical properties can be achieved, and by which important insights can be gained about the particularities of nanomechanical responses of molecular structures. Optimization to achieve desired mechanical properties is performed both using a brute-force grid search and Bayesian optimization. We also report manufactured samples of scaled-up architected models of the protein designs using 3D printing.",https://www.sciencedirect.com/science/article/pii/S0022509622002757
On the importance of self-consistency in recurrent neural network models representing elasto-plastic solids,"['Colin Bonatti', 'Dirk Mohr']","Volume 158, January 2022, 104697","['Recurrent neural networks', 'Surrogate models', 'Finite elements', 'Mechanical modeling', 'Homogenization', 'Deep learning']","Recurrent neural networks could serve as surrogate material models, removing the gap between component-level finite element simulations and numerically costly microscale models. Recent efforts relied on gated recurrent neural networks. We show the limits of that approach: these networks are not self-consistent, i.e. their response depends on the increment size. We propose a recurrent neural network architecture that integrates self-consistency in its definition: the Linearized Minimal State Cell (LMSC). While LMSCs can be trained on short sequences, they perform best when applied to long sequences of small increments. We consider an elastoplastic example and train small models with fewer than 5000 parameters that precisely replicate the deviatoric elastoplastic behavior, with an optimal number of state-variables. We integrate these models into an explicit finite element framework and demonstrate their performance on component-level simulations with tens of thousands of elements and millions of increments.",https://www.sciencedirect.com/science/article/pii/S0022509621003161
Strain-rate and temperature dependence of yield stress of amorphous solids via a self-learning metabasin escape algorithm,"['Penghui Cao', 'Xi Lin', 'Harold S. Park']","Volume 68, August 2014, Pages 239-250","['Amorphous solid', 'Yield stress', 'Strain rate', 'Self-learning metabasin escape algorithm', 'Potential energy surface']","A general self-learning metabasin escape (SLME) algorithm (Cao et al., 2012) is coupled in this work with continuous shear deformations to probe the yield stress as a function of strain rate and temperature for a binary Lennard-Jones (LJ) amorphous solid. The approach is shown to match the results of classical molecular dynamics (MD) at high strain rates where the MD results are valid, but, importantly, is able to access experimental strain rates that are about ten orders of magnitude slower than MD. In doing so, we find in agreement with previous experimental studies that a substantial decrease in yield stress is observed with a decreasing strain rate. At room temperature and laboratory strain rates, the activation volume associated with yield is found to contain about 10 LJ particles, while the yield stress is as sensitive to a
1.5
%
T
g
increase in temperature as it is to a one order of magnitude decrease in the strain rate. Moreover, our SLME results suggest that the SLME and extrapolated results from MD simulations follow distinctly different energetic pathways during the applied shear deformation at low temperatures and experimental strain rates, which implies that extrapolation of the governing deformation mechanisms from MD strain rates to experimental may not be valid.",https://www.sciencedirect.com/science/article/pii/S0022509614000647
DeepBuckle: Extracting physical behavior directly from empirical observation for a material agnostic approach to analyze and predict buckling,"['Andrew J. Lew', 'Markus J. Buehler']","Volume 164, July 2022, 104909","['Mechanics', 'Buckling', 'Deep learning', 'Failure', 'Solid mechanics', 'Computer vision', 'Experiment', 'Simulation']","Buckling is a long studied mechanical process that has been tackled from a variety of theoretical and numerical methods over the past two and a half centuries. Despite this, predicting buckling behavior of materials with complex structure and components, such as notched beams of non-homogeneous architected composites, remains non-trivial. Inspired by recent advancements in applying artificial intelligence methods to model physical relationships directly from observational data, here we use a Variational Autoencoder in concert with a Long Short-Term Memory network to model the buckling behavior of notched beams. Our model, DeepBuckle, qualitatively and quantitatively learns buckling behavior of homogeneous polymer beams, and has the capacity to predict novel designs that yield certain buckling behaviors with creative, out-of-the-box implementation. Importantly, we subsequently demonstrate that our approach directly generalizes to beams comprised of a far more complex composite foam material, without the increased computational resources or ancillary knowledge of material characteristics required by a more traditional finite element or other continuum approaches. Notably, the method reported here uses a simple table top experimental setup and can easily be transferred to other applications, for use in fundamental studies of mechanical phenomena, or in educational settings.",https://www.sciencedirect.com/science/article/pii/S0022509622001119
Modeling finite-strain plasticity using physics-informed neural network and assessment of the network performance,"['Sijun Niu', 'Enrui Zhang', 'Yuri Bazilevs', 'Vikas Srivastava']","Volume 172, March 2023, 105177","['Physics-informed neural networks (PINN)', 'Machine learning', 'Finite element method (FEM)', 'Finite-deformation', 'Plasticity']","Physics-informed neural networks (PINN) can solve partial differential equations (PDEs) by encoding the mathematical information explicitly into the loss functions. In the context of plasticity, discussions of PINN have only focused on small-strain formulations. We present a framework of finite-strain elasto-plasticity for PINN, considering rate-independent isotropic hardening in this work. Details of the model architecture are discussed, including inputs and outputs of the neural network and the construction of the loss function that incorporates equilibrium equations, boundary conditions and constitutive relations. In addition, the overall architecture can learn the constitutive relations from discrete measurements on a stress–strain curve, hence eliminating the need for modeling hardening law in the formulation. We demonstrate the performance of PINN through a numerical example that includes a multi-step loading and unloading history. Moreover, we assess the performance of PINN in terms of its accuracy and robustness under mesh refinement and as a function of the network architecture design. Displacement, Cauchy stress and accumulated plastic strain fields are compared to the finite element results for the same problem for the purposes of this assessment, which is intended to provide insight and guidance for the future designs of PINN for plasticity and related problems in solid mechanics.",https://www.sciencedirect.com/science/article/pii/S0022509622003532
Equilibrium-based convolution neural networks for constitutive modeling of hyperelastic materials,"['L.F. Li', 'C.Q. Chen']","Volume 164, July 2022, 104931","['Convolution neural network', 'Unsupervised learning', 'Constitutive modeling', 'Hyperelastic materials']","Recently, various machine learning methods have been developed to model the stress-strain constitutive behavior of materials. In these methods, a large database of multi-axial stress versus strain curves is indispensable for training and cross-validation. However, it is usually formidable to experimentally obtain such curves by noting that, although strain can be easily measured, stress can only be extracted for limited specimens with a simple and uniform stress field upon loading. Moreover, most developed approaches are based upon supervised learning and ignore known physical laws, resulting in limited interpretability and generalization. In this paper, an equilibrium-based convolution neural network (ECNN) is proposed to model the constitutive behavior of hyperelastic materials. Only strain and externally applied force are taken as input for training while the hard-to-measure stress is considered as internal variables. Therefore, a large database can be easily generated with a single non-uniformly deformed specimen with spatially dependent strain. The equation of equilibrium is embedded in the architecture of the ECNN as a constraint to implicitly establish the correspondence between the internal variables and the stress components and, consequently, the constitutive stress–strain relationship. Moreover, the ECNN is unsupervised by noting that training is not against the output stress. Numerical and experimental examples are presented to show that the developed ECNN can faithfully extract the stress corresponding to local strain, model the multiaxial stress-strain constitutive behavior of hyperelastic materials, and surrogate equation-based conventional constitutive models of hyperelastic materials.",https://www.sciencedirect.com/science/article/pii/S0022509622001284
Manifold embedding data-driven mechanics,"['Bahador Bahmani', 'WaiChing Sun']","Volume 166, September 2022, 104927","['Data-driven mechanics', 'Manifold learning', 'Geodesic', 'Constitutive manifold']","This article introduces a manifold embedding data-driven paradigm to solve small- and finite-strain elasticity problems without a conventional constitutive law. This formulation follows the classical data-driven paradigm by seeking the solution that obeys the balance of linear momentum and compatibility conditions while remaining consistent with the material data by minimizing a distance measure. Our key point of departure is the introduction of a global manifold embedding as a means to learn the geometrical trend of the constitutive data mathematically represented by a smooth manifold. By training an invertible neural network to embed the data of an underlying constitutive manifold onto a Euclidean space, we reformulate the local distance-minimization problem that requires a computationally intensive combinatorial search to identify the optimal data points closest to the conservation law with a cost-efficient projection step. Meanwhile, numerical experiments performed on path-independent elastic materials of different material symmetries suggest that the geometrical inductive bias learned by the neural network is helpful to ensure more consistent predictions when dealing with data sets of limited sizes or those with missing data.",https://www.sciencedirect.com/science/article/pii/S0022509622001259
On the potential of recurrent neural networks for modeling path dependent plasticity,"['Maysam B. Gorji', 'Mojtaba Mozaffar', 'Julian N. Heidenreich', 'Jian Cao', 'Dirk Mohr']","Volume 143, October 2020, 103972","['Recurrent neural network', 'Fully connected neural network', 'Gated recurrent unit', 'Plasticity', 'Yld2000-2d', 'HAH']","The mathematical description of elastoplasticity is a highly complex problem due to the possible change from elastic to elasto-plastic behavior (and vice-versa) as a function of the loading path. Advanced physics-based plasticity models usually feature numerous internal variables (often of tensorial nature) along with a set of evolution equations and complementary conditions. In the present work, an attempt is made to come up with a machine-learning based model that can replicate the predictions anisotropic Yld2000-2d model with homogeneous anisotropic hardening (HAH). For this, a series of modeling problems of increasing complexity is formulated and sequentially addressed using neural network models. It is demonstrated that basic fully-connected neural network models can capture the characteristic non-linearities in the uniaxial stress-strain response such as the Bauschinger effect, permanent softening or latent hardening. A neural network with gated recurrent units (GRUs) and fully-connected layer is proposed for the modeling of plane stress plasticity for arbitrary loading paths. After training and testing the model through comparison with the Yld2000-2d/HAH model, the recurrent neural network model is also used to model the multi-axial stress-strain response of a two-dimensional foam. Here, the comparison with the results from unit cell simulations provided another validation of the proposed data-driven modeling approach.",https://www.sciencedirect.com/science/article/pii/S0022509620302076
